[2019-03-22 16:46:31,549] http://localhost:5000/tag?10001&conv=001*1553240791538*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:33,156] http://localhost:5000/tag?10001&conv=001*1553240793139*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:33,801] http://localhost:5000/tag?10001&conv=001*1553240793790*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:34,774] http://localhost:5000/tag?10001&conv=001*1553240794765*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:35,283] http://localhost:5000/tag?10001&conv=001*1553240795273*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:37,153] http://localhost:5000/tag?10001&conv=001*1553240797139*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:38,253] http://localhost:5000/tag?10001&conv=001*1553240798243*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:38,695] http://localhost:5000/tag?10001&conv=001*1553240798679*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:39,491] http://localhost:5000/tag?10001&conv=001*1553240799472*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:46:40,251] http://localhost:5000/tag?10001&conv=001*1553240800228*http://www.test.com/test2.html*N/A*1553239107177
[2019-03-22 16:48:55,397] http://localhost:5000/tag?10001&conv=001*1553240935380*http://www.test.com/test2.html*N/A*1553239107177
